id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KHYA0,Hyannis,US,MA,,KHYA,41.6693,-70.2804,17.0,America/New_York,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KHYI0,San Marcos / Reedville,US,TX,,KHYI,29.8927,-97.863,181.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2007-01-01,2022-01-01
KHYS0,Hays / Buffalo Hills Mobile Home Park,US,KS,,KHYS,38.8422,-99.2732,609.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2008-01-01,2021-01-01
KHYX0,Saginaw / Robin Glen Mobile Home Community,US,MI,,KHYX,43.4334,-83.8623,183.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KIAG0,Niagara Falls / Walmore,US,NY,,KIAG,43.1073,-78.9462,180.0,America/New_York,1951-06-12,2023-02-20,1951-06-13,2022-04-24,1951-01-01,2022-01-01
KIDI0,Indiana / Bryan Hill Manor,US,PA,,KIDI,40.6322,-79.1055,428.0,America/New_York,2006-01-01,2023-02-20,2006-01-29,2022-04-24,2015-01-01,2022-01-01
KIER0,Natchitoches / East Natchitoches,US,LA,,KIER,31.7357,-93.0991,37.0,America/Chicago,2006-01-01,2023-02-20,2006-02-23,2022-04-24,2007-01-01,2022-01-01
KILE0,Killeen / Lone Star,US,TX,,KILE,31.0858,-97.6865,259.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2009-01-01,2022-01-01
KIMT0,Iron Mountain,US,MI,,KIMT,45.8184,-88.1146,360.0,America/Menominee,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KINJ0,Hillsboro / Carls Corner,US,TX,,KINJ,32.0836,-97.0973,209.0,America/Chicago,2006-06-21,2023-02-20,2011-03-30,2022-04-24,2014-01-01,2022-01-01
KINK0,Wink,US,TX,,KINK,31.7798,-103.2017,860.0,America/Chicago,1946-08-01,2023-02-20,1946-08-02,2022-04-24,1947-01-01,2022-01-01
KIPL0,Imperial,US,CA,,KIPL,32.8342,-115.5787,-16.0,America/Los_Angeles,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KIRS0,Sturgis,US,MI,,KIRS,41.8133,-85.4389,282.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KISO0,Kinston / Mewborns Crossroads,US,NC,,KISO,35.3314,-77.6088,28.0,America/New_York,1973-06-08,2023-02-20,2005-01-01,2022-04-24,2020-01-01,2022-01-01
KISQ0,Manistique,US,MI,,KISQ,45.9746,-86.1718,209.0,America/Detroit,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KITH0,Ithaca / Lansing,US,NY,,KITH,42.4914,-76.4587,335.0,America/New_York,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KITR0,Burlington / West Burlington,US,CO,,KITR,39.2425,-102.2854,1286.0,America/Denver,2006-01-01,2023-02-20,2006-01-01,2022-04-23,2006-01-01,2022-01-01
KIWA0,Chandler / Germann,US,AZ,,KIWA,33.3078,-111.6555,421.0,America/Phoenix,1942-03-01,2023-02-20,1942-03-03,2022-04-24,1942-01-01,2022-01-01
KIWD0,Ironwood / Hautala Corner,US,MI,,KIWD,46.5275,-90.1314,375.0,America/Menominee,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2008-01-01,2022-01-01
KIYK0,Inyokern,US,CA,,KIYK,35.6587,-117.8295,749.0,America/Los_Angeles,2006-01-01,2023-02-19,2006-10-21,2006-10-21,,
KJAS0,Jasper / Curtis,US,TX,,KJAS,30.8857,-94.0349,65.0,America/Chicago,2006-03-21,2023-02-20,2011-02-11,2022-04-24,2015-01-01,2022-01-01
KJDD0,Mineola-Quitman / Calvary,US,TX,,KJDD,32.7422,-95.4965,132.0,America/Chicago,2006-04-01,2023-02-20,2006-09-28,2022-04-24,2015-01-01,2022-01-01
KJDN0,Jordan,US,MT,,KJDN,47.3287,-106.9527,811.0,America/Denver,2006-04-02,2023-02-20,2020-01-17,2022-04-24,,
KJHW0,Jamestown / Kimball Stand,US,NY,,KJHW,42.1534,-79.258,525.0,America/New_York,2006-01-01,2023-02-20,2006-02-28,2022-04-24,2008-01-01,2022-01-01
KJKJ0,Moorhead / Park Lane Mobile Home Park,US,MN,,KJKJ,46.8393,-96.664,280.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KJMR0,Mora,US,MN,,KJMR,45.8861,-93.2718,308.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KJNX0,Smithfield / Whitley Heights,US,NC,,KJNX,35.5409,-78.3903,50.0,America/New_York,2006-01-01,2023-02-17,2006-02-20,2022-04-24,2010-01-01,2022-01-01
KJQF0,Concord / Cox Mill,US,NC,,KJQF,35.3878,-80.7091,215.0,America/New_York,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2020-01-01,2022-01-01
KJSO0,Jacksonville / Dialville,US,TX,,KJSO,31.8693,-95.2174,207.0,America/Chicago,2006-02-02,2023-02-20,2009-01-01,2022-04-24,2011-01-01,2022-01-01
KJST0,Johnstown / Wissingertown,US,PA,,KJST,40.3161,-78.8339,696.0,America/New_York,1973-01-01,2023-02-20,1991-03-23,2022-04-24,2005-01-01,2021-01-01
KJSV0,Sallisaw,US,OK,,KJSV,35.4382,-94.8029,161.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KJWG0,Watonga,US,OK,,KJWG,35.8647,-98.4207,473.0,America/Chicago,2006-01-01,2023-02-20,2006-01-01,2022-04-24,2007-01-01,2022-01-01
KJWY0,Waxahachie / Sardis,US,TX,,KJWY,32.4562,-96.9127,217.0,America/Chicago,2006-05-16,2023-02-20,2006-08-31,2022-04-24,2014-01-01,2022-01-01
KJXN0,Jackson / Coffman Trailer Court,US,MI,,KJXN,42.2604,-84.4604,305.0,America/Detroit,1973-01-01,2023-02-20,1973-01-03,2022-04-24,2000-01-01,2022-01-01
